,team,date,win,loss,ot,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
0,Anaheim Ducks,2022/11/21@ STL,0,1,0,0,0,0,0,1,3,0.0,66.7,0.0,66.7,28.0,27.0,38.0
1,Anaheim Ducks,2021/12/01vs VGK,1,0,0,2,1,1,0,6,5,0.0,50.0,-66.7,75.0,34.0,39.0,37.7
2,Anaheim Ducks,2024/03/14@ MIN,0,1,0,0,0,0,0,0,2,0.0,100.0,0.0,100.0,16.0,31.0,45.5
3,Anaheim Ducks,2023/01/26@ COL,1,0,0,2,1,1,0,5,3,0.0,50.0,0.0,50.0,32.0,44.0,45.2
4,Anaheim Ducks,2023/01/13vs NJD,0,1,0,0,0,0,0,2,6,25.0,50.0,25.0,50.0,33.0,39.0,42.3
5,Anaheim Ducks,2024/01/20@ SJS,0,1,0,0,0,0,0,3,5,33.3,100.0,33.3,100.0,34.0,19.0,50.9
6,Anaheim Ducks,2021/11/02vs NJD,1,0,0,2,1,1,0,4,0,28.6,100.0,28.6,120.0,27.0,28.0,51.1
7,Anaheim Ducks,2023/10/19vs DAL,0,1,0,0,0,0,0,2,3,0.0,60.0,0.0,60.0,29.0,24.0,36.5
8,Anaheim Ducks,2021/11/16vs WSH,1,0,0,2,0,1,0,3,2,0.0,--,0.0,--,31.0,30.0,67.3
9,Anaheim Ducks,2023/04/09vs COL,0,0,1,1,0,0,0,4,5,0.0,62.5,0.0,62.5,23.0,46.0,47.8
10,Anaheim Ducks,2023/11/24vs LAK,0,1,0,0,0,0,0,2,5,50.0,33.3,50.0,33.3,31.0,31.0,50.9
11,Anaheim Ducks,2022/01/15@ CHI,0,1,0,0,0,0,0,0,3,0.0,66.7,0.0,66.7,37.0,36.0,41.3
12,Anaheim Ducks,2021/10/15vs MIN,0,1,0,0,0,0,0,1,2,25.0,80.0,25.0,80.0,29.0,43.0,53.9
13,Anaheim Ducks,2023/04/05vs EDM,0,1,0,0,0,0,0,1,3,0.0,100.0,0.0,100.0,28.0,33.0,41.5
14,Anaheim Ducks,2021/12/11@ PIT,0,1,0,0,0,0,0,0,1,0.0,100.0,0.0,100.0,33.0,29.0,45.5
15,Anaheim Ducks,2021/11/26vs OTT,1,0,0,2,1,1,0,4,0,33.3,100.0,33.3,100.0,33.0,34.0,46.2
16,Anaheim Ducks,2022/01/11vs PIT,0,1,0,0,0,0,0,1,4,0.0,66.7,0.0,66.7,26.0,34.0,34.6
17,Anaheim Ducks,2024/01/27@ MIN,1,0,0,2,1,1,0,3,2,0.0,100.0,0.0,100.0,25.0,37.0,50.9
18,Anaheim Ducks,2024/01/09@ NSH,1,0,0,2,1,1,0,5,3,33.3,100.0,0.0,100.0,33.0,42.0,51.4
19,Anaheim Ducks,2023/12/21vs CGY,0,1,0,0,0,0,0,0,3,0.0,85.7,0.0,85.7,25.0,44.0,50.0
20,Anaheim Ducks,2024/02/21vs CBJ,0,1,0,0,0,0,0,4,7,0.0,100.0,-25.0,100.0,31.0,27.0,53.2
21,Anaheim Ducks,2021/12/09@ CBJ,1,0,0,2,0,0,1,1,1,0.0,100.0,0.0,100.0,26.0,34.0,51.7
22,Anaheim Ducks,2023/12/15@ NYR,0,1,0,0,0,0,0,1,5,0.0,66.7,0.0,66.7,30.0,39.0,47.5
23,Anaheim Ducks,2021/12/31@ VGK,0,1,0,0,0,0,0,1,3,100.0,100.0,100.0,100.0,16.0,45.0,49.1
24,Anaheim Ducks,2022/03/12@ NJD,0,0,1,1,0,0,0,1,1,0.0,100.0,0.0,100.0,34.0,40.0,59.6
25,Anaheim Ducks,2021/11/09@ VAN,1,0,0,2,0,1,0,3,2,25.0,100.0,0.0,100.0,30.0,43.0,41.3
26,Anaheim Ducks,2023/03/01vs WSH,0,0,1,1,0,0,0,2,3,0.0,100.0,0.0,100.0,23.0,39.0,54.2
27,Anaheim Ducks,2022/04/06vs CGY,0,1,0,0,0,0,0,2,4,33.3,100.0,33.3,100.0,28.0,28.0,46.7
28,Anaheim Ducks,2023/04/11vs VAN,0,1,0,0,0,0,0,2,3,20.0,50.0,20.0,50.0,35.0,36.0,55.4
29,Anaheim Ducks,2022/12/28vs VGK,1,0,0,2,0,0,1,2,2,0.0,100.0,-20.0,100.0,27.0,51.0,42.4
30,Anaheim Ducks,2023/02/10vs PIT,0,1,0,0,0,0,0,3,6,50.0,75.0,50.0,75.0,31.0,59.0,45.5
31,Anaheim Ducks,2022/03/13@ NYI,0,1,0,0,0,0,0,3,4,0.0,100.0,0.0,100.0,42.0,29.0,44.6
32,Anaheim Ducks,2021/11/18vs CAR,0,1,0,0,0,0,0,1,2,0.0,100.0,0.0,100.0,32.0,31.0,45.9
33,Anaheim Ducks,2023/02/25@ CAR,1,0,0,2,1,1,0,3,2,0.0,100.0,0.0,100.0,16.0,53.0,50.8
34,Anaheim Ducks,2023/01/08vs BOS,0,1,0,0,0,0,0,1,7,0.0,50.0,0.0,50.0,29.0,42.0,46.4
35,Anaheim Ducks,2021/11/28vs TOR,0,1,0,0,0,0,0,1,5,0.0,100.0,0.0,100.0,40.0,31.0,62.2
36,Anaheim Ducks,2023/10/24@ CBJ,1,0,0,2,0,1,0,3,2,0.0,85.7,0.0,85.7,27.0,37.0,61.4
37,Anaheim Ducks,2023/11/17vs FLA,0,1,0,0,0,0,0,1,2,33.3,100.0,33.3,100.0,35.0,35.0,46.0
38,Anaheim Ducks,2024/02/17@ TOR,0,1,0,0,0,0,0,2,9,33.3,20.0,33.3,20.0,21.0,32.0,44.4
